dataset,metric,nli,nli_weight,level,correlation,litepyramid
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,summary,pearson,0.4781078400301717
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,summary,pearson,0.5118597296005599
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,summary,pearson,0.5394286811690001
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,summary,pearson,0.5391478426871334
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,summary,pearson,0.546365960305693
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,summary,pearson,0.5514930200977398
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,summary,pearson,0.5469024844190699
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,summary,pearson,0.5480108110301498
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,summary,pearson,0.5498019306411911
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,summary,pearson,0.5474389110071355
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,summary,pearson,0.5451651117866181
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.0,system,pearson,0.5309584244634034
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,system,pearson,0.6349299278007835
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,system,pearson,0.7271150082811727
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,system,pearson,0.7987748628427075
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,system,pearson,0.8460204855358561
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,system,pearson,0.8705673846670423
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,system,pearson,0.877546657837741
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,system,pearson,0.8727362796171063
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,system,pearson,0.8609269053406526
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,system,pearson,0.8454938585774268
realsumm,BARTScore_bart-large-cnn,NLI1Score_monolingual,1.0,system,pearson,0.8285878619741694
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,summary,pearson,0.4781078400301717
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,summary,pearson,0.4872708472593222
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,summary,pearson,0.4969592943560357
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,summary,pearson,0.4993965446329409
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,summary,pearson,0.5098922343426594
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,summary,pearson,0.5163526684894163
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,summary,pearson,0.5231790688149941
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,summary,pearson,0.5288573792717542
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,summary,pearson,0.5534087669697247
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,summary,pearson,0.5493726583290397
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,summary,pearson,0.5496020172684039
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.0,system,pearson,0.5309584244634034
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,system,pearson,0.5719736657926444
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,system,pearson,0.6174589738861701
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,system,pearson,0.667060340051837
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,system,pearson,0.7195436588579651
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,system,pearson,0.7722546139057755
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,system,pearson,0.820634281666612
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,system,pearson,0.8583026162290477
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,system,pearson,0.8784052027221351
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,system,pearson,0.8762666177593574
realsumm,BARTScore_bart-large-cnn,NLI2Score_monolingual,1.0,system,pearson,0.8518194750915022
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.0,summary,pearson,0.582589639366533
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.1,summary,pearson,0.5905458003910753
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.2,summary,pearson,0.5919010919296392
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.3,summary,pearson,0.5827044642545683
realsumm,BARTScore_bart-large-cnn+para_bi,NLI1Score_monolingual,0.4,summary,pearson,0.5780870750923109
